id,window_id,BallAcceleration,Time,DistanceWall,DistanceCeil,DistanceBall,PlayerSpeed,BallSpeed,up,accelerate,slow,goal,left,boost,camera,down,right,slide,jump,BallAcceleration_skew,Time_skew,DistanceWall_skew,DistanceCeil_skew,DistanceBall_skew,PlayerSpeed_skew,BallSpeed_skew,up_skew,accelerate_skew,slow_skew,goal_skew,left_skew,boost_skew,camera_skew,down_skew,right_skew,slide_skew,jump_skew,label
0,<NA>,0.0,2.2050215500000014,3817.38,2013.0,<NA>,150959.23988782425,145648.0616603677,0.0,0.0,0,0,0,0,0,0,1,0.0,0.0,-5.3165796090295885,0.24578769290545338,-0.44163400667517694,-4.481712597454799,2.380493318458345,0.20764176288012434,-1.4270330918937886,0.0,2.380876189257104,5.65685424949238,3.795045503069807,0.0,1.4285257135542624,3.795045503069807,0.0,-1.6811337918829738,1.4285257135542624,1.0215919081700053,6
0,0,1636.7987723122642,0.0,3498.01,2012.98,<NA>,104267.42623178152,99035.84933750001,0.0,0.0,0,0,0,0,0,0,1,0.0,1.0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,6
0,1,3198.029396508704,0.13889319999999827,3494.08,2012.98,229.89677966426592,124248.03198843835,102233.87873400871,0.0,0.0,0,0,0,1,0,0,1,0.0,1.0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,6
0,2,0.0,0.1736165000000014,3494.08,2012.98,<NA>,124248.03198843835,102968.35898954592,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,6
0,3,9914.766241818943,0.3125095999999985,3500.08,2012.98,<NA>,115248.01600895349,112883.12523136486,0.0,0.0,0,0,0,0,0,0,1,0.0,0.0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,6
0,4,5907.747166307177,0.6250190999999994,3521.65,2013.0,<NA>,125091.25617324338,118790.87239767204,0.0,0.0,0,0,0,0,0,0,1,0.0,1.0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,6
0,5,0.0,0.833354400000001,3533.4,2013.1,<NA>,134706.20667586182,128733.31106982373,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,6
0,6,-581.0951350222022,0.9722643999999967,3548.04,2013.0,<NA>,125937.15823774967,128152.21593480153,0.0,0.0,0,0,0,0,0,0,1,0.0,0.0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,6
0,7,647.2447550631623,1.041724399999996,3548.04,2013.0,192.94075178665597,125937.15823774967,128799.46068986469,0.0,0.0,0,0,0,1,0,0,1,0.0,0.0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,6
0,8,0.0,1.2153415999999986,3576.77,2013.03,<NA>,126848.41392386425,132047.8507246521,0.0,0.0,0,0,0,0,0,0,1,0.0,1.0,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,6
